StockCode,Warehouse,OnHand
700-999-7V2,WH/Stock/Raw Materials,45
700-999-SPKRBDW,WH/Stock/Welding,2
700-999-SPKRBDW,WH/Stock/Final Finished Goods,2
700-ANWSFS-10,WH/Stock/Raw Materials,217
700-AV824,WH/Stock/Raw Materials,35
700-AWNPAT-1,WH/Stock/Welding,3
700-AWNPAT-2,WH/Stock/Welding,5
700-AWNPAT-3,WH/Stock/Welding,24
700-AWNPAT-4,WH/Stock/Welding,4
700-AWNPAT-5,WH/Stock/Welding,10
700-AWNPAT-6,WH/Stock/Final Finished Goods,12
700-AWNXL-1,WH/Stock/General Assembly,103
700-AWNXL-10,WH/Stock/Welding,3
700-AWNXL-11,WH/Stock/Raw Materials,10
700-AWNXL-12,WH/Stock/Raw Materials,14
700-AWNXL-2,WH/Stock/Raw Materials,96
700-AWNXL-2,WH/Stock/General Assembly,13
700-AWNXL-3,WH/Stock/Raw Materials,176
700-AWNXL-8,WH/Stock/Raw Materials,18
700-AWNXL-9,WH/Stock/Raw Materials,32
700-BHSL,WH/Stock/Raw Materials,42
700-BHSL,WH/Stock/Tech Stock,63
700-BHSS,WH/Stock/Raw Materials,128
700-BHSS,WH/Stock/Final Finished Goods,11
700-BLZ2PRO,WH/Stock/Sheet Metal,1
700-BLZGRIDDLE,WH/Stock/Sheet Metal,1
700-BLZHESTAN30,WH/Stock/Sheet Metal,1
700-BLZHESTAN36,WH/Stock/Sheet Metal,1
700-BRAUMSOCU-1,WH/Stock/Welding,6
700-BRAUMSOCU-10,WH/Stock/Raw Materials,2
700-BRAUMSOCU-12,WH/Stock/Welding,9
700-BRAUMSOCU-1SWC,WH/Stock/Raw Materials,1
700-BRAUMSOCU-3,WH/Stock/Welding,8
700-BRAUMSOCU-4,WH/Stock/Raw Materials,6
700-BRAUMSOCU-4,WH/Stock/Welding,7
700-BRAUMSOCU-5,WH/Stock/Raw Materials,8
700-BRAUMSOCU-6R,WH/Stock/Raw Materials,26
700-BRAUMSOCU-8,WH/Stock/Welding,5
700-BRMSCANOPY-10,WH/Stock/General Assembly,13
700-BRMSCANOPY-15,WH/Stock/Raw Materials,4
700-BRMSCANOPY-15,WH/Stock/General Assembly,4
700-BRMSCANOPY-16,WH/Stock/Raw Materials,11
700-BRMSCANOPY-17,WH/Stock/Raw Materials,8
700-BRMSCANOPY-17,WH/Stock/General Assembly,1
700-BRMSCANOPY-18,WH/Stock/General Assembly,1
700-BRMSCANOPY-5,WH/Stock/Raw Materials,5
700-BRMSCANOPY-7,WH/Stock/Raw Materials,2
700-BRMSCANOPY-7,WH/Stock/General Assembly,5
700-BRMSCANOPY-9,WH/Stock/Raw Materials,13
700-BROTMEN-1,WH/Stock/Welding,1
700-BROTMEN-10,WH/Stock/Raw Materials,11
700-BROTMEN-11,WH/Stock/Raw Materials,16
