StockCode,Warehouse,OnHand
HSG275,WH/Stock/General Assembly,736
HSG276,WH/Stock/General Assembly,111
HSG277,WH/Stock/General Assembly,1760
HSG754,WH/Stock/General Assembly,108
HSG802,WH/Stock/General Assembly,22
HSG803,WH/Stock/General Assembly,39
HSG804,WH/Stock/Raw Materials,37
HSG900,WH/Stock/General Assembly,103
HSG9050,WH/Stock/Raw Materials,352
HSG910M,WH/Stock/General Assembly,62
HSG930,WH/Stock/General Assembly,14
HSG930M,WH/Stock/General Assembly,81
HSG940,WH/Stock/Raw Materials,13
HSG940M,WH/Stock/General Assembly,9
HSGM780M,WH/Stock/Raw Materials,1
HYPERPSS,WH/Stock/Raw Materials,3
HYPERSMARTPS,WH/Stock/Raw Materials,49
IC106,WH/Stock/Tech Stock,19
IC106,WH/Stock/Final Finished Goods,7
IC112,WH/Stock/Final Finished Goods,1
IC113B,WH/Stock/Tech Stock,11
IC113B,WH/Stock/Final Finished Goods,31
IC720,WH/Stock/Tech Stock,455
IC782A,WH/Stock/Tech Stock,86
ICCP,WH/Stock/Final Finished Goods,1
ICCRT,WH/Stock/Final Finished Goods,9
ICFT,WH/Stock/Final Finished Goods,5
ICL,WH/Stock/Final Finished Goods,116
ICLABT,WH/Stock/Final Finished Goods,8
IDP2000,WH/Stock/Tech Finished Goods,2
IDT2-B,WH/Stock/Raw Materials,2
IND400V3,WH/Stock/Final Finished Goods,8
IND500,WH/Stock/Final Finished Goods,482
IPV-BULL,WH/Stock/Raw Materials,14
IPV-DOOR,WH/Stock/Raw Materials,22
JC,WH/Stock/Raw Materials,200
JC,WH/Stock/Tech Stock,6
JC,WH/Stock/Welding,8
KB-USB,WH/Stock/Final Finished Goods,35
KBCONE,WH/Stock/Raw Materials,17
KITCUPH,WH/Stock/Welding,3
KITDDDH,WH/Stock/Final Finished Goods,4
LAM15HT3,WH/Stock/Raw Materials,106
LAM63,WH/Stock/General Assembly,25
LAMF300,WH/Stock/Raw Materials,8
LAMF3W,WH/Stock/General Assembly,41
LAMF400S,WH/Stock/Raw Materials,3
LAMF4W,WH/Stock/General Assembly,34
LAMF4W,WH/Stock/Final Finished Goods,6
LAMF500,WH/Stock/Raw Materials,6
LAMF600,WH/Stock/General Assembly,12
LAMS11230,WH/Stock/General Assembly,4
LAMS124,WH/Stock/Raw Materials,299
LAMS124,WH/Stock/Final Finished Goods,5
LCD500RTRO,WH/Stock/Final Finished Goods,1
LEDFLEX6.2,WH/Stock/Raw Materials,330
LEDFLEX6.2,WH/Stock/General Assembly,111.45
LEDPS100,WH/Stock/General Assembly,8
LEDPS120,WH/Stock/General Assembly,87
LEDPS125,WH/Stock/General Assembly,51
LEDPS130,WH/Stock/General Assembly,9
LEDSFPODHO,WH/Stock/Raw Materials,180
LEDSW100P,WH/Stock/General Assembly,35
DMX105A,WH/Stock/Tech Stock,27
DRILL#28,WH/Stock/General Assembly,24
DRILL#30,WH/Stock/General Assembly,12
DRILL2,WH/Stock/General Assembly,30
DRILL2A,WH/Stock/Final Finished Goods,12
DRILLG5,WH/Stock/General Assembly,12
DT6001BLU,WH/Stock/Final Finished Goods,1
DT6800BLU,WH/Stock/Final Finished Goods,1
DT9000,WH/Stock/General Assembly,25
DT9000,WH/Stock/Final Finished Goods,116
DT9100,WH/Stock/General Assembly,312
DT9200,WH/Stock/General Assembly,277
DT9200X,WH/Stock/Final Finished Goods,3
DTCONVKIT-B,WH/Stock/General Assembly Finished Goods,2
DUN-DT5SPK,WH/Stock/General Assembly Finished Goods,2
DUN-DT6RPV,WH/Stock/General Assembly Finished Goods,1
DUN-DTCB,WH/Stock/General Assembly,1
ELC2061,WH/Stock/Tech Stock,389
